date,interest,province,month,year,Shopping,First_Nations_Topic,chewing_shopping,ecig_search
2022-03,65,AB,03,2022,49,27,47,57
2022-04,66,AB,04,2022,46,31,46,60
2022-05,62,AB,05,2022,48,28,21,62
2022-06,62,AB,06,2022,67,31,44,67
2022-07,79,AB,07,2022,64,21,39,71
2022-08,72,AB,08,2022,63,17,42,65
2022-09,62,AB,09,2022,56,28,58,66
2022-10,56,AB,10,2022,50,28,49,63
2022-11,49,AB,11,2022,46,26,31,59
2022-12,52,AB,12,2022,58,23,28,64
2023-01,57,AB,01,2023,48,28,57,65
2023-02,54,AB,02,2023,50,32,35,65
2023-03,48,AB,03,2023,50,36,52,61
2023-04,50,AB,04,2023,49,34,65,66
2023-05,50,AB,05,2023,44,38,70,64
2023-06,58,AB,06,2023,49,39,39,68
2023-07,59,AB,07,2023,55,26,48,80
2023-08,55,AB,08,2023,52,26,39,71
2023-09,53,AB,09,2023,55,35,42,70
2023-10,48,AB,10,2023,51,39,37,67
2023-11,41,AB,11,2023,44,39,50,65
2023-12,46,AB,12,2023,50,32,23,65
2024-01,44,AB,01,2024,47,29,39,60
2018-01,30,BC,01,2018,35,43,25,56
2018-02,27,BC,02,2018,33,55,39,54
2018-03,28,BC,03,2018,37,48,47,49
2018-04,31,BC,04,2018,35,49,50,53
2018-05,30,BC,05,2018,32,60,51,46
2018-06,30,BC,06,2018,38,51,43,55
2018-07,38,BC,07,2018,34,35,50,49
2018-08,40,BC,08,2018,35,33,40,51
2018-09,40,BC,09,2018,44,42,30,57
2018-10,37,BC,10,2018,43,49,44,58
2018-11,40,BC,11,2018,42,48,50,59
2018-12,42,BC,12,2018,44,33,38,62
2019-01,38,BC,01,2019,40,46,35,63
2019-02,39,BC,02,2019,39,46,28,60
2019-03,47,BC,03,2019,41,43,44,59
2019-04,42,BC,04,2019,38,43,34,60
2019-05,45,BC,05,2019,46,47,42,61
2019-06,51,BC,06,2019,47,44,36,60
2019-07,50,BC,07,2019,54,31,46,61
2019-08,44,BC,08,2019,50,28,32,68
2019-09,39,BC,09,2019,50,39,34,84
2019-10,31,BC,10,2019,37,45,42,53
2019-11,31,BC,11,2019,37,45,43,55
2019-12,31,BC,12,2019,39,30,36,51
2020-01,28,BC,01,2020,30,39,33,48
2020-02,33,BC,02,2020,31,53,35,47
2020-03,38,BC,03,2020,27,32,32,46
2020-04,32,BC,04,2020,28,28,43,39
2020-05,28,BC,05,2020,28,29,27,36
2020-06,32,BC,06,2020,33,42,23,40
2020-07,40,BC,07,2020,32,35,22,46
2020-08,39,BC,08,2020,34,26,31,46
2020-09,42,BC,09,2020,42,34,18,48
2020-10,42,BC,10,2020,38,38,22,58
2020-11,40,BC,11,2020,39,34,26,49
2020-12,38,BC,12,2020,41,27,19,48
2021-01,37,BC,01,2021,39,36,24,49
2021-02,34,BC,02,2021,34,37,32,47
2021-03,35,BC,03,2021,35,33,29,48
2021-04,33,BC,04,2021,31,35,21,47
2021-05,34,BC,05,2021,33,40,35,49
2021-06,37,BC,06,2021,32,58,19,50
2021-07,48,BC,07,2021,40,39,34,55
2021-08,47,BC,08,2021,40,30,35,58
2021-09,38,BC,09,2021,38,41,35,53
2021-10,41,BC,10,2021,40,40,34,55
2021-11,42,BC,11,2021,39,37,32,58
2021-12,38,BC,12,2021,37,29,25,55
2022-01,34,BC,01,2022,32,38,27,55
2022-02,37,BC,02,2022,34,41,30,54
2022-03,33,BC,03,2022,35,42,0,46
2022-04,39,BC,04,2022,32,40,24,46
2022-05,39,BC,05,2022,37,40,31,51
2022-06,42,BC,06,2022,38,40,28,56
2022-07,46,BC,07,2022,39,32,42,64
2022-08,47,BC,08,2022,40,30,42,62
2022-09,39,BC,09,2022,42,41,47,57
2022-10,38,BC,10,2022,37,41,48,60
2022-11,34,BC,11,2022,38,40,28,54
2022-12,40,BC,12,2022,40,28,31,55
2023-01,38,BC,01,2023,38,36,21,63
2023-02,37,BC,02,2023,39,45,42,58
2023-03,37,BC,03,2023,42,46,35,61
2023-04,40,BC,04,2023,41,51,35,64
2023-05,40,BC,05,2023,38,50,25,72
2023-06,42,BC,06,2023,48,52,31,66
2023-07,42,BC,07,2023,43,44,25,67
2023-08,44,BC,08,2023,45,40,49,68
2023-09,37,BC,09,2023,39,56,47,63
2023-10,34,BC,10,2023,40,56,31,65
2023-11,30,BC,11,2023,40,61,25,58
2023-12,33,BC,12,2023,40,45,30,59
2024-01,30,BC,01,2024,32,39,18,56
2018-01,45,MB,01,2018,26,51,,52
2018-02,40,MB,02,2018,39,50,,47
2018-03,39,MB,03,2018,30,47,,45
2018-04,32,MB,04,2018,28,46,,40
2018-05,41,MB,05,2018,23,48,,40
2018-06,50,MB,06,2018,30,45,,46
2018-07,42,MB,07,2018,31,37,,47
2018-08,53,MB,08,2018,41,38,,50
2018-09,49,MB,09,2018,37,46,,54
2018-10,45,MB,10,2018,44,49,,56
2018-11,45,MB,11,2018,28,43,,57
2018-12,50,MB,12,2018,24,33,,54
2019-01,39,MB,01,2019,28,41,,50
2019-02,37,MB,02,2019,28,44,,49
2019-03,53,MB,03,2019,38,47,,53
