date,interest,province,month,year,Shopping,First_Nations_Topic,chewing_shopping,ecig_search
2021-05,0,PE,05,2021,,,,
2021-06,0,PE,06,2021,,,,
2021-07,55,PE,07,2021,,,,
2021-08,0,PE,08,2021,,,,
2021-09,65,PE,09,2021,,,,
2021-10,0,PE,10,2021,,,,
2021-11,51,PE,11,2021,,,,
2021-12,0,PE,12,2021,,,,
2022-01,0,PE,01,2022,,,,
2022-02,0,PE,02,2022,,,,
2022-03,41,PE,03,2022,,,,
2022-04,0,PE,04,2022,,,,
2022-05,0,PE,05,2022,,,,
2022-06,51,PE,06,2022,,,,
2022-07,0,PE,07,2022,,,,
2022-08,52,PE,08,2022,,,,
2022-09,0,PE,09,2022,,,,
2022-10,57,PE,10,2022,,,,
2022-11,45,PE,11,2022,,,,
2022-12,56,PE,12,2022,,,,
2023-01,48,PE,01,2023,,,,
2023-02,0,PE,02,2023,,,,
2023-03,0,PE,03,2023,,,,
2023-04,58,PE,04,2023,,,,
2023-05,54,PE,05,2023,,,,
2023-06,52,PE,06,2023,,,,
2023-07,60,PE,07,2023,,,,
2023-08,81,PE,08,2023,,,,
2023-09,66,PE,09,2023,,,,
2023-10,57,PE,10,2023,,,,
2023-11,0,PE,11,2023,,,,
2023-12,79,PE,12,2023,,,,
2024-01,46,PE,01,2024,,,,
2018-01,19,QC,01,2018,19,6,17,27
2018-02,17,QC,02,2018,15,7,20,26
2018-03,19,QC,03,2018,15,8,0,25
2018-04,17,QC,04,2018,16,8,24,23
2018-05,20,QC,05,2018,16,8,18,25
2018-06,20,QC,06,2018,14,7,20,24
2018-07,23,QC,07,2018,14,8,16,27
2018-08,27,QC,08,2018,19,7,23,28
2018-09,28,QC,09,2018,24,7,16,37
2018-10,26,QC,10,2018,26,7,13,35
2018-11,25,QC,11,2018,25,8,0,35
2018-12,29,QC,12,2018,26,6,22,36
2019-01,30,QC,01,2019,31,7,15,41
2019-02,30,QC,02,2019,25,7,0,37
2019-03,34,QC,03,2019,27,7,13,38
2019-04,35,QC,04,2019,24,7,17,37
2019-05,35,QC,05,2019,27,7,16,39
2019-06,39,QC,06,2019,25,7,17,39
2019-07,48,QC,07,2019,31,5,0,42
2019-08,52,QC,08,2019,29,6,24,43
2019-09,34,QC,09,2019,30,6,20,48
2019-10,29,QC,10,2019,20,7,27,33
2019-11,28,QC,11,2019,23,7,0,31
2019-12,35,QC,12,2019,25,5,14,33
2020-01,34,QC,01,2020,25,6,18,31
2020-02,33,QC,02,2020,19,9,14,31
2020-03,50,QC,03,2020,23,5,18,31
2020-04,46,QC,04,2020,28,4,21,38
2020-05,43,QC,05,2020,22,4,22,30
2020-06,35,QC,06,2020,20,5,17,25
2020-07,38,QC,07,2020,21,5,23,33
2020-08,39,QC,08,2020,21,5,14,32
2020-09,37,QC,09,2020,23,6,16,31
2020-10,38,QC,10,2020,25,7,17,34
2020-11,33,QC,11,2020,23,5,17,32
2020-12,46,QC,12,2020,27,4,21,37
2021-01,52,QC,01,2021,29,4,0,48
2021-02,37,QC,02,2021,30,6,14,36
2021-03,34,QC,03,2021,20,5,0,31
2021-04,42,QC,04,2021,23,5,12,34
2021-05,43,QC,05,2021,20,6,12,31
2021-06,47,QC,06,2021,20,9,20,32
2021-07,57,QC,07,2021,24,8,0,36
2021-08,55,QC,08,2021,26,6,20,37
2021-09,62,QC,09,2021,25,7,29,38
2021-10,56,QC,10,2021,26,8,0,40
2021-11,53,QC,11,2021,25,7,13,36
2021-12,61,QC,12,2021,28,5,0,38
2022-01,53,QC,01,2022,22,6,17,35
2022-02,49,QC,02,2022,16,10,22,32
2022-03,56,QC,03,2022,21,8,13,36
2022-04,57,QC,04,2022,25,7,19,38
2022-05,62,QC,05,2022,26,7,0,39
2022-06,72,QC,06,2022,26,7,0,43
2022-07,88,QC,07,2022,32,8,14,54
2022-08,81,QC,08,2022,28,6,14,50
2022-09,74,QC,09,2022,27,9,15,51
2022-10,67,QC,10,2022,30,8,0,47
2022-11,63,QC,11,2022,27,8,0,43
2022-12,77,QC,12,2022,30,6,13,48
2023-01,73,QC,01,2023,33,6,11,55
2023-02,67,QC,02,2023,26,8,17,44
2023-03,66,QC,03,2023,31,9,18,56
2023-04,72,QC,04,2023,33,9,12,65
2023-05,70,QC,05,2023,29,9,0,56
2023-06,75,QC,06,2023,27,8,15,54
2023-07,83,QC,07,2023,32,7,0,54
2023-08,75,QC,08,2023,30,8,17,57
2023-09,68,QC,09,2023,29,12,17,55
2023-10,67,QC,10,2023,38,11,13,66
2023-11,59,QC,11,2023,43,11,16,76
2023-12,47,QC,12,2023,26,7,0,47
2024-01,38,QC,01,2024,26,7,15,44
